Run,BioSample,geo_loc_name_country_continent,geo_loc_name,Lat_Lon,Library Name,Organism,ReleaseDate,REPLICATE
SRR15198087,SAMN20296505,Surface,1213.0,Chihuahuan Desert,Moss Biocrust 4,USA: White Sands National Park,32.73 N 106.22 W,WHSMO4,Rep 4
SRR15198088,SAMN20296504,Surface,1213.0,Chihuahuan Desert,Moss Biocrust 3,USA: White Sands National Park,32.73 N 106.22 W,WHSMO3,Rep 3
SRR15198089,SAMN20296503,Surface,1213.0,Chihuahuan Desert,Moss Biocrust 2,USA: White Sands National Park,32.73 N 106.22 W,WHSMO2,Rep 2
SRR15198090,SAMN20296502,Surface,1213.0,Chihuahuan Desert,Moss Biocrust 1,USA: White Sands National Park,32.73 N 106.22 W,WHSMO1,Rep 1
SRR15198091,SAMN20296501,Surface,1213.0,Chihuahuan Desert,Moss Biocrust 03,USA: White Sands National Park,32.73 N 106.22 W,WHSMO00,Rep 3 Duplicate
SRR15198092,SAMN20296500,Surface,1213.0,Chihuahuan Desert,Moss Biocrust 01,USA: White Sands National Park,32.73 N 106.22 W,WHSMO0,Rep 1 Duplicate
SRR15198093,SAMN20296499,Surface,1213.0,Chihuahuan Desert,Light Cyanobaterial Biocrust 5,USA: White Sands National Park,32.73 N 106.22 W,WHSLA5,Rep 5
SRR15198094,SAMN20296498,Surface,1213.0,Chihuahuan Desert,Light Cyanobaterial Biocrust 4,USA: White Sands National Park,32.73 N 106.22 W,WHSLA4,Rep 4
SRR15198095,SAMN20296497,Surface,1213.0,Chihuahuan Desert,Light Cyanobaterial Biocrust 3,USA: White Sands National Park,32.73 N 106.22 W,WHSLA3,Rep 3
SRR15198096,SAMN20296496,Surface,1213.0,Chihuahuan Desert,Light Cyanobaterial Biocrust 2,USA: White Sands National Park,32.73 N 106.22 W,WHSLA2,Rep 2
SRR15198097,SAMN20296415,Surface,1296.0,Chihuahuan Desert,Dark Cyanobacterial Biocrust 5,USA: Tortugas Mountain,32.30 N 106.70 W,AMTDA5,Rep 5
SRR15198098,SAMN20296495,Surface,1213.0,Chihuahuan Desert,Light Cyanobaterial Biocrust 1,USA: White Sands National Park,32.73 N 106.22 W,WHSLA1,Rep 1
SRR15198099,SAMN20296494,Surface,1213.0,Chihuahuan Desert,Dark Cyanobacterial Biocrust 5,USA: White Sands National Park,32.73 N 106.22 W,WHSDA5,Rep 5
SRR15198100,SAMN20296493,Surface,1213.0,Chihuahuan Desert,Dark Cyanobacterial Biocrust 4,USA: White Sands National Park,32.73 N 106.22 W,WHSDA4,Rep 4
SRR15198101,SAMN20296492,Surface,1213.0,Chihuahuan Desert,Dark Cyanobacterial Biocrust 3,USA: White Sands National Park,32.73 N 106.22 W,WHSDA3,Rep 3
SRR15198102,SAMN20296491,Surface,1213.0,Chihuahuan Desert,Dark Cyanobacterial Biocrust 2,USA: White Sands National Park,32.73 N 106.22 W,WHSDA2,Rep 2
SRR15198103,SAMN20296490,Surface,1213.0,Chihuahuan Desert,Dark Cyanobacterial Biocrust 1,USA: White Sands National Park,32.73 N 106.22 W,WHSDA1,Rep 1
SRR15198104,SAMN20296489,Surface,1213.0,Chihuahuan Desert,Clavascidium Lichen Biocrust 5,USA: White Sands National Park,32.73 N 106.22 W,WHSCL5,Rep 5
SRR15198105,SAMN20296488,Surface,1213.0,Chihuahuan Desert,Clavascidium Lichen Biocrust 4,USA: White Sands National Park,32.73 N 106.22 W,WHSCL4,Rep 4
SRR15198106,SAMN20296487,Surface,1213.0,Chihuahuan Desert,Clavascidium Lichen Biocrust 3,USA: White Sands National Park,32.73 N 106.22 W,WHSCL3,Rep 3
SRR15198107,SAMN20296486,Surface,1213.0,Chihuahuan Desert,Clavascidium Lichen Biocrust 2,USA: White Sands National Park,32.73 N 106.22 W,WHSCL2,Rep 2
SRR15198108,SAMN20296414,Surface,1296.0,Chihuahuan Desert,Dark Cyanobacterial Biocrust 4,USA: Tortugas Mountain,32.30 N 106.70 W,AMTDA4,Rep 4
SRR15198109,SAMN20296485,Surface,1213.0,Chihuahuan Desert,Clavascidium Lichen Biocrust 1,USA: White Sands National Park,32.73 N 106.22 W,WHSCL1,Rep 1
SRR15198110,SAMN20296484,Surface,1307.0,Chihuahuan Desert,Peltula Lichen Biocrust 5,USA: Portrillo Basalt Field,32.11 N 107.02 W,VOLPT5,Rep 5
SRR15198111,SAMN20296483,Surface,1307.0,Chihuahuan Desert,Peltula Lichen Biocrust 4,USA: Portrillo Basalt Field,32.11 N 107.02 W,VOLPT4,Rep 4
SRR15198112,SAMN20296482,Surface,1307.0,Chihuahuan Desert,Peltula Lichen Biocrust 3,USA: Portrillo Basalt Field,32.11 N 107.02 W,VOLPT3,Rep 3
SRR15198113,SAMN20296481,Surface,1307.0,Chihuahuan Desert,Peltula Lichen Biocrust 2,USA: Portrillo Basalt Field,32.11 N 107.02 W,VOLPT2,Rep 2
SRR15198114,SAMN20296480,Surface,1307.0,Chihuahuan Desert,Peltula Lichen Biocrust 1,USA: Portrillo Basalt Field,32.11 N 107.02 W,VOLPT1,Rep 1
SRR15198115,SAMN20296479,Surface,1307.0,Chihuahuan Desert,Peltula Lichen Biocrust 03,USA: Portrillo Basalt Field,32.11 N 107.02 W,VOLPT0,Rep 3 Duplicate
SRR15198116,SAMN20296478,Surface,1307.0,Chihuahuan Desert,Moss Biocrust 5,USA: Portrillo Basalt Field,32.11 N 107.02 W,VOLMO5,Rep 5
SRR15198117,SAMN20296477,Surface,1307.0,Chihuahuan Desert,Moss Biocrust 4,USA: Portrillo Basalt Field,32.11 N 107.02 W,VOLMO4,Rep 4
SRR15198118,SAMN20296476,Surface,1307.0,Chihuahuan Desert,Moss Biocrust 3,USA: Portrillo Basalt Field,32.11 N 107.02 W,VOLMO3,Rep 3
SRR15198119,SAMN20296413,Surface,1296.0,Chihuahuan Desert,Dark Cyanobacterial Biocrust 3,USA: Tortugas Mountain,32.30 N 106.70 W,AMTDA3,Rep 3
SRR15198120,SAMN20296475,Surface,1307.0,Chihuahuan Desert,Moss Biocrust 2,USA: Portrillo Basalt Field,32.11 N 107.02 W,VOLMO2,Rep 2
SRR15198121,SAMN20296474,Surface,1307.0,Chihuahuan Desert,Moss Biocrust 1,USA: Portrillo Basalt Field,32.11 N 107.02 W,VOLMO1,Rep 1
SRR15198122,SAMN20296473,Surface,1307.0,Chihuahuan Desert,Light Cyanobaterial Biocrust 5,USA: Portrillo Basalt Field,32.11 N 107.02 W,VOLLA5,Rep 5
SRR15198123,SAMN20296472,Surface,1307.0,Chihuahuan Desert,Light Cyanobaterial Biocrust 4,USA: Portrillo Basalt Field,32.11 N 107.02 W,VOLLA4,Rep 4
SRR15198124,SAMN20296471,Surface,1307.0,Chihuahuan Desert,Light Cyanobaterial Biocrust 3,USA: Portrillo Basalt Field,32.11 N 107.02 W,VOLLA3,Rep 3
SRR15198125,SAMN20296470,Surface,1307.0,Chihuahuan Desert,Light Cyanobaterial Biocrust 2,USA: Portrillo Basalt Field,32.11 N 107.02 W,VOLLA2,Rep 2
SRR15198126,SAMN20296469,Surface,1307.0,Chihuahuan Desert,Light Cyanobaterial Biocrust 1,USA: Portrillo Basalt Field,32.11 N 107.02 W,VOLLA1,Rep 1
SRR15198127,SAMN20296468,Surface,1307.0,Chihuahuan Desert,Dark Cyanobacterial Biocrust 5,USA: Portrillo Basalt Field,32.11 N 107.02 W,VOLDA5,Rep 5
